Shiro Shinobi	 Korra is safely back in Republic City, but Bolin and Varrick are still on the lam! Weeks ago, Korra removed the remaining poison from her body, but the memory of Zaheer's attack still torments her and, after being defeated by Kuvira, she questions if she will ever fully recover. Meanwhile, Kuvira has been secretly harvesting spirit vines from the swamp, but how close is she to completing her spirit energy weapon?
Ryu	Everyone! Mom! Can we stay together, please? The tour is about to begin.
Ryu's mother	That's my boy. Ryu, he used to live in the basement, but then he got airbending, and he's been doing important Air Nation stuff all over the world.  His father and I are here, visiting him and, we're just having the best time in the big city, we're so proud. Right, honey?
Ryu's father	Well, at least he has a job now.
Ryu	 Mom, Dad, I'm trying to work!
Ryu	 Fun fact, everyone. All these vines were created by UnaVaatu when he battled giant spirit Korra for the fate of the world.
Tourist #1	 Excuse me, are we in the Spirit World right now?
Ryu	 No.
Tourist #1	 Is the Spirit World in the ground below us?
Ryu	 No! Can I just get through my cards?
Ryu's mother	 Aw, honey, don't get flustered.
Ryu	 I'm not!
Tourist #1	Uhh, why is that vine coming toward us?
Ryu	 Uh ... I don't see anything about that in the cards.
Tourist #1	 I'm gonna poke it with a stick.
Ryu	No! Why would you do that?
Ryu	Everyone back!
Ryu's mother	This tour is exciting!
Ryu's mother	 Isn't Ryu the best airbender ever?
Korra	Everything okay?
Opal	No. Kuvira has my family and no one seems to care but me.
Korra	 We all care. Don't worry, we'll get them back safely.
Jinora	Guys, there you are! I just felt a weird surge of spiritual energy coming from the Spirit Wilds. Something's wrong.
Opal	Are you sure you felt a disturbance? Maybe you just had some bad food for breakfast.
Jinora	 I'm telling you, I felt it. Maybe something happened to Ryu's tour group. We should've run into them by now.
Korra	Yeah, but it's Ryu. They might be at the mall, for all we know.
Jinora	Korra, can't you feel how strange the energy is?
Korra	No ... but maybe I can get a reading.
Opal	 Korra, what is it? Are you okay?
Korra	It was Kuvira. I saw her taking vines from the swamp. It must be affecting our Spirit Wilds. I bet that's what you were sensing, Jinora.
Jinora	Why is she taking vines?
Korra	Whatever the reason, I'm sure it's not good.
Opal	We have to tell Raiko. This might help him convince the other leaders to finally take her down!
Jinora	I'll keep looking for Ryu and the others.
Raiko	 I say we deal with this Kuvira situation immediately.
Wu	 Yes! Agreed! And I know just how to get rid of her: we tell her she won an all-expense paid vacation to a tropical island. Then, when she gets there, we reveal that it was a trap. The island's a prison! Boom! Got her!  Or, okay, uh, I'm just spitballing here. We march in with an army of highly trained badgermoles!  Do we know if Kuvira has any allergies?
Raiko	Look, I think we all know what must be done. We take the fight to her.
