Shiro Shinobi	 The Red Lotus is the world's newest threat. After confronting Zaheer, Korra learned that he is part of a secret society whose mission is to take out all the nations' leaders and destroy world order. But before Korra could warn anyone, she and Asami were apprehended by the Earth Queen's forces. And the Red Lotus have Mako and Bolin. Now both parties are headed toward Ba Sing Se.
Korra	 You have to let me out! The Earth Queen is in danger from a group of terrorists calling themselves the Red Lotus.  I talked to one of them in the Spirit World yesterday. He's insane!
Captain	 Screaming about terrorists in the Spirit World? You're the one who sounds insane. 
Asami	 Do I have to be chained to the floor the whole way? It's going to be so uncomfortable.
Arik	 Sorry Ma'am, I'm under orders.
Asami	Can't you just chain me to that railing?  I mean, where am I gonna go?  Please?
Arik	Well, as long as you're chained up, I guess it doesn't make a difference. 
Asami	Thank you, Sir.
Korra	Can I have ... some water?
Arik	No water. We're also not going to bring you any rocks or fire, so don't ask. I guess there's air, but there's nothing we can do about that. We're not opening your compartment 'til we reach Ba Sing Se. 
Korra	I hoped Mako or Bolin would have shown up to save us by now. I wonder if they're okay.
Mako	 If you think  holding us hostage will give you some leverage against the Avatar, you're gonna be very disappointed.
Ming-Hua	Can't we just enjoy our time together in silence?
Mako	And why did you need Korra alive back in Zaofu? You had her paralyzed. Why didn't you just take her out when you had the chance?
Ghazan	Look, all you need to know is that the world is about to change, for the better.
Bolin	So you guys were like locked up for fifteen years, huh? It must've been like crazy boring.
Ghazan	Actually, it was only thirteen years. But it felt like thirty.
Bolin	I mean, what did you do with all that time? Did you sing songs, work on crafts?
Ming-Hua	Not a lot of craft supplies in a volcanic prison cell.
Ghazan	And I must've renamed the constellations about a thousand times. When it rained, that was a big event.
Ming-Hua	 I would've killed for some rain. Mostly I just made up stories about the guards: who was having trouble with his girlfriend; which one secretly wished he'd become a pastry chef.
Bolin	Ooh okay, that sounds like fun. Let me try that on you guys.  You were raised by an older sister, your mustache grew in when you were ten and I'm sensing - just sensing - an unspoken attraction between you two.
Ghazan	 Two out of three. Not bad.
Mako	Bolin, would you stop making friends with the bad guys?
Bolin	Sorry!
Zaheer	Ghazan, gag those two. We're almost there.
Korra	We have to find a way to get out of this prison before we get to the Earth Queen.
Asami	Don't worry, I have a plan. These airships the Cabbage Corp sold to the Earth Kingdom are way cheaper than the ones Future Industries built.
Asami	Now that's just shoddy workmanship.  There's no way I can get these locks off. I need the keys.  Give me five minutes, then start yelling for help.
Hou-Ting	When is the Avatar scheduled for delivery?
Gun	The airship already left Fort Bosco and should be arriving in a few hours.
Hou-Ting	Excellent. Bring it to me as soon as it lands.
Gun	Yes, Your Majesty. But first there are some ... people here who captured two of the Avatar's friends. They would like to present them to you personally.
Hou-Ting	You know I don't meet with bounty hunters.
Gun	And of course I told them that. But they say they have some information that might interest you; about the location of your stolen airbenders.
Hou-Ting	Really?  Fine, send them in.  Ah, yes, I remember these two. We'll find an acceptable home for you in prison, with the rest of the dissidents.  Now, I'm told you have some information for me. I hope this isn't just some ruse to increase your bounty.
Zaheer	"We don't want any bounty, Your Majesty. You can consider these two a ""thank you"" gift for simply taking the time to talk to us."
Hou-Ting	How very magnanimous. So, where are my airbenders?
Zaheer	I'd be happy to tell you, once you hand the Avatar over to me.
Hou-Ting	 Who told you that we have the Avatar?!
Zaheer	How I know is not important. But if I found out, others will too. And that could put you in a difficult position.
Hou-Ting	Is that so?
Zaheer	Your Majesty, imprisoning the Avatar will cause the other nations to turn against you and demand her freedom. Before long, we'd be in the midst of a sticky international incident. If you let me take her today, no one need ever know she was here, and you can get your airbenders back without interference. We both win.
Hou-Ting	And what do you plan to do with the Avatar should I see fit to grant your request.
Zaheer	All I can say is: I have business with her. But she won't be bothering you again. I can assure you of that. 
Hou-Ting	 I find these terms agreeable. Gun, escort them to the antechamber until the Avatar's arrival.  Send these two to the dungeon. 
Korra	Guards!  Get in here!  Something happened to my friend. She needs help.
Arik	 Where is she?
Korra	Nice work. Now let's take control of the ship.
Captain	Mayday! Mayday! The Avatar has escaped. We're going down in quadrant four of the Si Wong Desert.
Asami	I think you might have been a little over-aggressive with the airbending. The controls are busted.  Also, you broke the radio.
Korra	Sorry, but it's not my fault this airship's a hunk of junk.
Asami	 Hang on to something! 
Asami	Well. They say any landing you could walk away from is a good landing.  But, given our location, I'm not so sure about that.
Korra	You're the engineer. What do you think? Can we get flying again?
Asami	It doesn't look good. Even if you metalbend the propellers back into shape, we have to dig this whole thing out of the sand.
Korra	 Is everyone all right?
