Guard	We have an emergency!
Baatar	 I'll contact President Raiko. He'll send the United Forces.
Suyin	 Call whomever you want, but they'll never make it in time.  Kuvira's already here and she brought her entire army.
Kuvira	Don't get ahead of yourself. Securing your hometown won't be like every other city. [She walks over to the map, leaving Baatar Jr. at the window.]
Kuvira	No. The eyes of the world are on us now. We must do this right. That's why we need Bolin.
Kuvira	[Turning back to the map.] Su trusts him. She'll listen to him.
Jinora	Are you sure we should be going to Zaofu? Dad wanted us to bring you back to Republic City.
Korra	 If Kuvira's heading to Zaofu, so am I. She needs to know that the Avatar is back.  The world needs to know.
Meelo	Woo-hoo! Avatar fight! This is going to be awesome!
Korra	 Meelo, there's not gonna be a fight. Kuvira saved my dad. She was a captain in Su's guard; I think she can be reasoned with.
Meelo	What? No fight? Why did we go through all that trouble to save you if you're not going to beat someone up?
Varrick	Zhu Li! Is this thing on? 
Varrick	Okay. I'm Varrick, of Varrick Industries, International-- [He smiles as he says his name.] --and this is Spirit Vine Experiment 3-02. Hand me the thing!
Varrick	" In this stasis capsule is a preserved spirit vine sample weighing approximately two ""Zhu Lis""."
Varrick	"I have postulated that these spirit vines are a form of pure energy that's unstable in what we call--  --""typical earth conditions"".  This machine should transfer the energy from the vine into a battery using electrical currents, reverse magnetic polarity, and a little-known phenomenon I like to call--  --the Varri-Effect!"
Varrick	" It's working! It's registering five ""Varricks"" of power.  Now seven Varricks!"
Varrick	Whoa! What is this? What's going on?
Varrick	Zhu Li! Shut it down! There are too many Varricks!
Varrick	You're too heavy! You know, you could stand to lose a few Zhu Lis!
Zhu Li	[Softly.] Varrick ... you saved me.
Varrick	 Of course I saved you.
Varrick	I can't clean this place up by myself!  Grab a broom!
Kuvira	What happened? Were we attacked?
Varrick	 No! We were spirit-vined! But don't worry! I'm putting the kibosh on this project.
Kuvira	No, you're not. Do you realize what we could do with this kind of power?
Varrick	 Yes! I do! And that's why we gotta put an end to it! What if it fell into the wrong hands?
Varrick	"[Hushed.] I know, it's not like me, right? Usually I look at a project like this and think, ""Wow! I could make a ton of money off this!"" But recently, I've been having these strange feelings ... inside. [Confused.] It's like I'm ... concerned with others. And there's this nagging voice in my head constantly telling me what's right from wrong!"
Kuvira	[Unwavering.] Well, I'm the other voice in your head, and I'm telling you you will continue with this project.
Varrick	Sorry, no. I just really gotta stand my ground on this one-- Whoa!
