Shiro Shinobi	 Korra has regained her memory. By connecting with the original Avatar, Korra learned that to stop Unalaq she must close the spirit portal before Harmonic Convergence, which is only weeks away! Meanwhile, Varrick has made Bolin into a mover star and saved Asami's company. Mako is the only one who suspects that Varrick is up to no good, but can he prove it?
Jinora	Gotcha!  Furry-Foot, come back.
Tenzin	 Jinora, there you are. Come on, everyone's waiting.  Were you playing with someone?
Jinora	Oh, just some ... imaginary friends.
Kya	 Stop telling lies.
Bumi	It's true. I once beat an earthbender in a rock-throwing contest! I have the trophy to prove it.
Tenzin	All right, who's ready for an exciting tour of the Eastern Air Temple? We've got a lot to see today, including ancient statues, ancient gardens,  and the meditation hall used by ancient airbenders.
Ikki	 Yay. Old things.
Tenzin	 Korra?
Jinora, Ikki and Meelo	 Korra! Yay, Korra! Korra's back! 
Pema	What are you doing here?
Ikki	 Oh, I've missed you!
Kya	And how did you know where to find us?
Korra	Tenzin's itinerary. We went over it like a hundred times before we left Republic City.
Tenzin	 See? This is why schedules are important.
Korra	It's so great to see you all again.
Tenzin	It's great to see you too, but why aren't you training at the South Pole?
Korra	 Wait, you don't know about the Civil War?
Tenzin	 What? No. We've been out of touch with the outside world since we started our vacation.
Bumi	Tenzin's idea. What happened?
Korra	So much. I-I don't know where to start.
Tenzin	Just tell us everything!
Korra	Everything?  Okay. I opened a spirit portal at the South Pole, but then Unalaq turned out to be a bad guy and wanted to take control of the South, so I sort of started a Civil War, but when I went to find some help, I was attacked by my cousins, and then by a giant dark spirit, and then I forgot who I was, and then I met the first Avatar, and then I realized I shouldn't have opened the portal in the first place, and now I need to close it again!
Tenzin	I knew this would happen.  So Avatar Wan imprisoned this dark spirit Vaatu in the Spirit World?
Korra	Yes, and now I think my uncle is trying to free him.
Tenzin	I knew Unalaq was hungry for power, but never realized how far he would go to get it.
Korra	This is all my fault.
Tenzin	No, don't blame yourself. This is Unalaq's doing. Now, we must focus on setting things right before he can do any more damage.
Korra	Thank you.
Tenzin	So, you need to close the Southern portal, but if Unalaq's army controls the South, how are we going to get to it?
Korra	I thought about that. My best chance to close the portal is from the inside.  I have to enter the Spirit World.
Tenzin	A journey to the Spirit World. All my years of spiritual training have prepared me for this moment.  I will help you. Today, we enter the Spirit World.
Desna	Father, what are we doing here?
Unalaq	You're here to straighten out the mess you caused when you failed to capture the Avatar.
Desna	I told you, it wasn't our fault.
Unalaq	You're right. It was my fault for trusting you. Harmonic Convergence is almost upon us. This is my opportunity to change the world.
Eska	We'll make it up to you, Father.
Unalaq	Good, because I'll need your help to open the northern portal.
Desna	 I thought only the Avatar could do it.
Unalaq	I believe there is another way.
Unalaq	This way.
Unalaq	There it is, the northern portal.
Director	Cut! Okay, that's lunch, everyone.
Bolin	Hello? Anyone? Nuktuk's still up here, all alone.  Asami! Hey, what are you doing here?
Asami	Varrick invited me to watch some of the filming.  Are you filming right now?
Bolin	Right now? Nope. We're uh ... we're at lunch.
Mako	 Asami, there you are. Is Bolin around?
Bolin	 Up here. 
Mako	Good. I've got something to tell you both.
Bolin	 Ahh! Ow, aww. Oh, I got to stop doing my own stunts.
Mako	I found out who's been stealing from Future Industries:  Varrick.
Bolin	What? No.
Asami	 He attacked his own ship?
Mako	Yes! It was a ploy. He wants Republic City to go to war, and he wants control of the businesses that stand to profit the most from it. He already had all the shipping. All he needed was Future Industries.
Asami	Varrick helped save Future Industries. He's my business partner now, not an evil mastermind.  Mako, you seemed stressed.
Mako	I am stressed!
Bolin	See, this is why I had to move out.
Asami	You guys aren't living together anymore?
Bolin	Nope. It was time for this eagle hawk to spread his wings and fly. 
Asami	 Sounds like you've had a pretty busy week.  Maybe you just need to relax.
Bolin	 Wait a minute. Are you two—  you're dating again? What?
Mako	Dating? No!
Asami	That's crazy!
Bolin	Korra just left a week ago!
Mako	 Guys, listen to me. Varrick is up to no good, and I have proof. The detonators he uses in his movers are exactly like the one I found at the cultural center attack.  And those explosions were exactly like the ones the captain reported when Asami's shipment was hijacked. Don't you see?
Asami	 Anyone could have gotten their hands on one of those detonators.
Bolin	Yeah. Let it go, Mako.  Let it go.
Mako	 Gah! No! I'm not going to let it go!
Bodyguard	 Varrick's been looking for you. 
Tenzin	 You're lucky. This temple is the most spiritual of all the air temples.  Why, this very garden is where my father met Guru Pathik.
Korra	Wow! Spirit World, here we come.
Korra	 Are you in the Spirit World?
Tenzin	 I would be if Meelo could ring his bell at the appropriate intervals.
Meelo	 Aww, did I do it wrong?
Tenzin	 Let's try something else. 
Korra	 I thought your bell ringing was just fine.
Meelo	Thanks! 
Tenzin	 Kya, this is too much smoke. You set it up wrong. This isn't going to work.
Kya	 I'm sorry. I did what you told me.
Tenzin	 Well, the moment's ruined. 
Korra	 We could have tried a little longer. 
Jinora	 Come back, Furry-Foot.
Kya	Hey, Jinora, what are you chasing?
Jinora	Nothing.
Tenzin	Focus, Korra. Focus.
Korra	I am focusing.
Tenzin	No talking. Feel the energy of the universe.
Korra	Okay, I feel it.
Tenzin	 Korra, really! I'm trying to concentrate here! I don't think this location is going to work either.
Korra	What's going on with you? First, you're blaming Meelo, then Kya, and now me.
Tenzin	Well, nothing is feeling right to me.
Korra	I don't want to rush your feelings, but we're kind of in a hurry. How did you first get into the Spirit World? Let's try that.
Tenzin	Well ... actually, I've never been into the Spirit World.
Korra	You've never been into the Spirit World?
Pema	But you used to spend days in the temple meditating.
Tenzin	Trying to get in. It never happened. It's my greatest shortcoming as an airbender, spiritual leader, and son of Aang.
Bumi	" Welcome to the ""I Disappoint Dad"" club."
Kya	If you've never been to the Spirit World, how were you planning to get Korra into it?
Tenzin	I've spent years studying the techniques and theories of ancient spiritual leaders. Now that the Avatar needs me, it must be my time.
Korra	Tenzin, Harmonic Convergence is almost here. If Vaatu escapes from the Spirit World—
Tenzin	You have to trust me. I can help you.
Kya	There might be another way. Jinora, is there something you want to tell Korra?
Tenzin	Jinora? She's too young and untrained to have any knowledge about spiritual matters.
Jinora	Actually, I think I do know where Korra needs to go to get into the Spirit World.
Tenzin	And how would you know that?
Jinora	My spirit friends showed me.  It's okay. You can show yourselves. 
Tenzin	How did you do that?
Pema	 Jinora.
Meelo	 Bunnies!
Jinora	Actually, they're dragonfly bunny spirits.
Kya	I knew it. Looks like she does know something about spiritual matters.
Ikki	So cute!
Meelo	Bunnies!
Ikki	Come back!
Tenzin	How long have you been able to do this?
