Shiro Shinobi	" Welcome to Republic City, the place of hopes, dreams and Spirit Wilds!  This metropolis truly has something for everyone. Visit Air Temple Island, the hub for all airbenders as they travel the world, helping others. Or take a stroll through beautiful Avatar Korra Park, named in honor of ""You-Know-Who""! We've missed her these past three years and we can't wait to welcome her home. Get well soon, Korra! And of course, you'll want to see our most unique attractions: the Spirit Wilds. Here, spirits and people live harmoniously together.  Like this old codger, and his new pals. Yes siree, this town is truly on the up and up! Come be a part of the action in Republic City!"
Raiko	 And of course, my biggest thanks goes to Asami Sato and Future Industries. She brought our old central terminal into the modern era. Ladies and gentlemen, the world is entering a new age of peace and prosperity. Soon, Prince Wu will take his rightful place on the Earth Kingdom throne.  And thanks to our updated rail system, Republic City and the Earth Kingdom will be united like never before!
Wu	Hey there! Asami, right? Great train house. Maybe you can give me a personal tour sometime, what do you say?
Asami	 I do like the idea of putting you on a train and sending you far, far away.
Wu	 That's ... that's funny. I like funny dames. Maybe I should introduce myself. I'm Prince Wu, future king.
Asami	Yeah ... I'm aware of who you are.
Wu	Don't let my reputation intimidate you. I'm still human just like everyone else. Only more human, like, extra human, or, hmm, superhuman.
Asami	 Superhuman?
Wu	So, what do you say? Can I show you a low-key night out with a superhuman soon-to-be king?
Mako	Prince Wu! President Raiko has some really important ... king stuff to talk to you about.
Wu	 Now?  Fine.  Think over the offer.  I'll be back. 
Mako	He's a real charmer, huh?
Asami	He's ... something. How can you stand being his bodyguard?
Mako	Well, I just remind myself that once he's on the throne, I go back to being a detective.
Asami	And that works?
Mako	 I also go home, and smash my head into the wall for an hour, you know, just to get the stress out.
Asami	 It's good to see you, Mako. It's been too long. You hear from Bolin lately?
Mako	I haven't talked to him for a while, but he's coming in a few days for the coronation. And Beifong told me that Korra is getting in tonight.
Asami	I can't wait to see her.  It's going to be weird, having the old Team Avatar back in the city after all these years.
Tenzin	After your coronation, the United Forces will escort you to Ba Sing Se.
Wu	Right. About that. Are we all positive that the Earth Kingdom is safe enough for me to return? I don't have to remind everyone what happened to my great-aunt three years ago?!  May she rest in peace.
Raiko	Prince Wu, I assure you, Kuvira has the Earth Kingdom pretty much stabilized at this point.
Wu	" Uh ... define ""pretty much""."
Tenzin	Well, the roving bandits have mostly been dispersed.
Wu	Mostly?
Lin	Don't worry kid. The chances of you being assassinated are almost zero.
Wu	Almost?
Shopkeeper	Get out of here! We don't have anything left.
Bandit #1	Now you don't have anything left.
Kai	It's safe to come out, everyone! The airbenders are here.
Governor	You finally made it! So where are the rest of you?
