Shiro Shinobi	 Benders be on alert. After coming face to face with Amon, leader of the Equalists, Avatar Korra discovers a terrifying truth: this masked mad man has the ability to take away a person's bending, permanently. Benders of Republic City are counting on their young Avatar. But is she prepared to face such a frightening foe?
Amon	After I take your bending away, you will be nothing. 
Korra	It's ... it's all right, Naga. I just had a bad dream. 
Tarrlok	There is a madman running around our beloved city, threatening to tear it apart. We need to create a task force whose sole mission is to find Amon and bring him to justice.
Tenzin	 Absolutely not. A move that aggressive would only further divide benders and nonbenders.
Fire Nation councilwoman	Tarrlok, I'm inclined to agree with your proposal, but who would even  head up such a task force?
Tarrlok	 It would be my honor and privilege to accept such a duty.
Tenzin	 This is just another one of your ploys to gain more power, isn't it? 
Tarrlok	All I'm trying to do is help. Think back, forty-two years ago, Republic City was threatened by another dangerous man. Yakone.  Your father wasn't afraid to deal with him head-on.
Tenzin	This.. is a completely different situation ...  and how dare you compare yourself to Avatar Aang!
Tarrlok	 Amon is not going to stop with the bending triads.  Eventually, he will come for all us benders. Our friends, our families. Vote for this task force and I will stop Amon before it's too late. All in favor?
Amon	Good evening, my fellow Equalists.  This is your leader, Amon.  As you have heard, the Republic Council has voted to make me public enemy number one, proving once again that the bending  oppressors of this city will stop at nothing to quash our revolution. But we cannot be stopped. Our numbers grow stronger by the day. You no longer have to live in fear.  The time has come for benders to experience fear. 
Asami	Oh, no!  I'm so sorry. I didn't see you. 
Mako	 How could you not see me? I mean I was ju-juu ...  uh, I was ... I- I ... wow.  I was ... 
Asami	 Are you okay? Did I hurt you? Ugh, I'm such an idiot. 
Mako	Don't worry, I'm fine. My brother hits me harder than that every day in practice. 
Asami	Wait, I recognize you. You're Mako, right? You play for the Fire Ferrets.
Mako	Yeah, that's me.
Asami	 I am so embarrassed.  My name is Asami. Let me make this up to you somehow. Uh, how about I treat you to dinner? Tomorrow night, eight o' clock, Kwong's Cuisine. 
Mako	Uh, Kwong's? I don't have any clothes nice enough for a place that classy.
Asami	 I'll take care of that. All you need to do is show up.  So ... it's a date?
Mako	Uh, yeah, I guess so. I'll see you tomorrow night.
Tenzin	We are grateful for this delicious food, for happiness, for compassion, and ...
Tarrlok	 I'm not interrupting, am I? 
Tenzin	This is my home, Tarrlok. We're about to eat dinner. 
Tarrlok	Good, because I am absolutely famished.  Airbenders never turn away a hungry guest, am I right?
Tenzin	 I suppose. 
