Shiro Shinobi	 The Avatar has been abducted! After Tarrlok arrested her friends, Korra confronted the councilman in his chambers. But the heated argument quickly turned into an all-out bending battle! Desperate to save himself, Tarrlok revealed his ability to bloodbend and took Korra far from Republic City. Will the Avatar's friends find her before it's too late?
Korra	 What are you doing?  Tarrlok!  You can't keep me in here forever!
Meelo	 Who is this? It's six in the morning! This better be important!
Tenzin	 Councilman Tenzin here.  What?!
Tenzin	What happened?  What was Korra doing at City Hall?
Tarrlok	As I told Chief Saikhan,  Korra came to my office late last night. She was upset that I arrested her friends. She asked me to release them and ... that's when the Equalists attacked.  I tried to protect Korra, but we were outnumbered.  Then, I was electrocuted.  When I came to, the police had arrived. But Korra was gone.  I'm so sorry.  Chief Saikhan, mobilize the entire police force. We have to find the Avatar.
Radio	 We interrupt your regularly scheduled broadcast to bring you this special report. Late last night, Equalists attacked City Hall,  subduing Councilman Tarrlok and capturing Avatar Korra. Details are still coming in, b-
Lin	Hope you got enough beauty rest. Come on, I'm busting you out.
Asami	 Thanks. I owe you.
Mako	Are you done yet?
Bolin	Cover your ears! I can't go with you listening.
Mako	Asami! 
Bolin	Ahh!  A little privacy, please!
Mako	 Are you all right?
Asami	I'm fine! It's so good to see you.
Lin	Hate to break up your lovers' reunion, but Korra's in trouble. Amon captured her.
Mako	 No. No, she can't be gone!
Lin	Come on, we have an Avatar to rescue.
Lin	 Your fly was down.
Bolin	 Thanks for catching that.
Korra	 Somebody! Help! Please!  Please. 
Tenzin	I urge you to meditate on these visions. I believe Aang's spirit is trying to tell you something.
Toph	 What are you doing here, Aang?  I told you, I have this under control.
Aang	 Under normal circumstances, I wouldn't get involved, but if what those victims said is true, we're not dealing with a normal criminal.
Toph	 Fine. Follow me, Twinkle Toes.
Aang	 Toph, I'm forty years old. You think you could stop with the nicknames?
Toph	 'Fraid not. 
Toph	 It's over! You're under arrest, Yakone!
Yakone	 What is Republic City coming to? Used to be, a man could enjoy his lunch in peace.  What's the big idea?
Aang	We have dozens of witnesses, Yakone. We know what you are.
Toph	 Take him away.
Yakone	 I've beaten every trumped-up charge you yahoos have brought against me!  And I'll beat this one, too.
Korra	 Whoa.  I finally connected with you, Aang.  But, what are you trying to tell me?  A way out of this box would be nice. 
Tenzin	 I have to go. Call me back the minute you hear anything.  Lin? Wh-wh-what are y- What are y- You should be in the hospital! And you three!  You should be in prison!
Lin	I figured you could use our help finding Korra.
Mako	 Do you have any leads?
Tenzin	I've been on the phone all morning, but nothing yet.
Mako	 We need Naga! She can track Korra.
Tenzin	I'm afraid her polar bear dog is missing as well.
Bolin	Then where do we start?
Lin	My guess is the Equalists are hiding underground in the maze of tunnels beneath the city.
Asami	 Underground ... just like my father's secret factory. Figures.
Bolin	 Yeah! Yeah, that makes sense! When those chi blockers had me in their truck, it sounded like we drove into a tunnel!
Mako	I know where to start looking! Come on! 
Lin	 Wherever Amon is keeping Korra, I bet that's where my officers are too.
Tenzin	Let's bring them all home, Lin.
Mako	 The truck with Bolin took off down this alley. 
Asami	Which way?
Bolin	Hmm. This way kinda ...  smells familiar.
Lin	There's a tunnel nearby. 
Mako	 There!
Lin	 Motorcycle tracks.
Mako	Korra has to be in there ... somewhere.
Mako	Let's try this way.
Asami	And what if Korra's not down there?
Mako	 Then we pick another tunnel until we find her! 
Asami	Hey, is Mako all right? He seems really worried about Korra.
Bolin	 Yeah, we all are!
