Shiro Shinobi	 Kuvira has defeated the Avatar and now controls the entire Earth Empire. Luckily, the airbender kids and Opal rescued Korra and escaped Zaofu. For the first time in three years, Korra will finally be back in Republic City! Meanwhile, Varrick and Bolin escaped from Baatar Jr. and are on the run. But will they make it back to the city in time to warn everyone about Kuvira's new spirit energy super weapon?
Korra	Naga!
Korra	 I missed you so much, girl!
Meelo	 Mom! Dad! We're back! And we got Korra!
Bumi	 Aren't you a sight for sore eyes!  Bum-Ju and I sure missed you.
Korra	It's so great to see you again, Bumi. And you too, Bum-Ju.
Tenzin	 Well done kids!  I'm proud of you all for finding Korra.
Meelo	 Proud enough to get me my tats?
Tenzin	 No.
Tenzin	Welcome home.
Korra	I missed you, Tenzin.
Tenzin	Now, I hate to get right down to business, but I want to hear what happened in Zaofu.
Bumi	Way to ruin the moment.
Opal	Kuvira's whole army was there. She captured Mom, Dad, and my brothers.
Korra	 I thought I was strong enough to stop her. I feel like such a failure.
Tenzin	No one expected you to handle Kuvira on your own. It's up to all of us to find a way to deal with her.  We're just glad to have you back.
Bumi	Where's Bolin? He's not still on Kuvira's side, is he?
Opal	I can't believe he would stay with her after what she did to my family. But we don't know where he is.
Bolin	How about you use your own legs for a while?
Varrick	You know, when I fled Republic City with Zhu Li, she carried me twenty miles in one day. And that was after she sprained her ankle.
Bolin	 Well, Zhu Li's not here, okay?
Varrick	 That's fine, leave me here, let the worms gobble me up. I deserve it.
Bolin	No way mister! You're not getting off that easily. You're responsible for that weapon Kuvira is trying to make. Which, may I remind you, could hurt a lot of people.
Varrick	No, don't remind me! I know, I'm a horrible, horrible person!
Bolin	 Okay, look. Kuvira fooled us both into doing her dirty work and I'm not happy about it either. But, you know how we're gonna make it up to the world? By getting back to Republic City and warning everyone what she's up to! So, I want you to take my hand  and march with me out of this forest!
Varrick	 You really have a way with words, kid. No wonder I made you a mover star. All right, I'll take the driver's seat for a while, hop on. 
Bolin	Oh, great, my feet could use a break. 
Varrick	 Oh, boy, here we go! 
Bolin	Are you kidding me?!
Korra	I hope you haven't been waiting long.
Asami	Only three years.  It's so good to see you again.
Korra	You too.
Asami	And I'm loving the hair.
Korra	Thanks.  You're looking snazzy as always.
Asami	Come on. Mako got us a table at the restaurant.
Mako	Korra!
Korra	Hi, Mako. 
Wu	 Hello there, Prince Wu, rightful heir to the throne and  this guy's boss. I bet he's told you a lot about me.
Korra	Nope. Not a thing.
Wu	 Then we have so much to talk about.  You are going to love the food here, I know the chef personally.  Let's start with a round of your spicy octopus fritters  and keep the cucumber-aloe water coming!  Gotta keep this princely skin hydrated.
Asami	 I thought it was going to be the three of us.
Mako	Sorry, but I couldn't ditch him. But he promised to be on his best behavior.
Wu	 Hey, pop into the Avatar State for me. I want to see your eyes glow.
Korra	 What? No! 
Asami	So can you go into the Avatar State again? I was worried when you told me you couldn't.
Mako	Wait, when did she tell you she couldn't?  What's going on with you two?
Korra	 I wrote to Asami while I was away. I asked her not to tell you. I'm sorry.
Mako	Well, why didn't you ever write to me? Or Bolin?
Korra	I don't know. I guess ... I didn't know what to say.
Mako	" ""Hello"" would have been nice."
Wu	Mako, if it makes you feel any better, she didn't write me either.
Mako	 Why would she ...  Never mind.
Korra	I'm sorry I didn't stay in touch, but I'm back now.  And I wanna know everything about what's been going on with you two.
Asami	Well, I kind of have some big news. I went to visit my father for the first time. He had been writing me letters and I guess I finally felt ready to try and forgive him.
Korra	You sure you can trust him? He might just be manipulating you again.
Asami	 You think I don't know what my own father is capable of?
Korra	 No, I didn't mean ...
Asami	 You don't get to disappear for three years and then act like you know what's best for me!
Korra	It's not like I planned to be gone for that long, I wanted to come back, but I never felt ready until now.
Wu	As much as I'm enjoying this little catch-up, my royal bladder is about to explode. Mako, come on, I need you to stand guard.
Mako	"I'm not gonna hold your hand every time you have to empty your ""royal bladder"". Go to the bathroom on your own for once."
Wu	 Fine. 
Korra	Do you always go to the bathroom with him?
Mako	I don't go with him, with him, I just stand there in the general vicinity while he ... I don't wanna talk about it.
Bathroom attendant	Good afternoon, Sir. Perhaps a spritz of cologne, to freshen up?
Wu	Make it a double, buddy!
Wu	 Mako, help! Wu ... down ... 
Bolin	I wish Pabu were here. He could just chew us out of this.
Varrick	You know who else has incisors sharp as a knife? Zhu Li ...
