Shiro Shinobi	 Someone has attacked the Southern Water Tribe Cultural Center. All the evidence points to Northern sympathizers, but Mako suspects there's more to this case. Meanwhile, Varrick has cast Bolin as the hero of his newest mover. Asami has also ventured into business with Varrick, and a shipment of her mecha tanks is on its way to help the South in its war against Unalaq.
Captain	We're under attack!
Captain	Varrick is not gonna be happy about this.
Eska	Where is he?
Desna	Father said he would meet us at this location. He'll be here.  Were you just in the Spirit World?
Unalaq	Never mind that. Where is the Avatar?
Eska	She was within our grasp until a dark spirit attacked her.
Desna	They're out of control.
Unalaq	 You didn't get her?
Eska	The Avatar is dead.
Nuktuk	We finally made it. Now, we must stop the evil Unalaq! 
Evil Unalaq	The Southern Water Tribe is mine. Next, I will conquer the world with my waterbending doomsday device!
Nuktuk	Don't worry, Juji and Roh-Tan, I will end the evil Unalaq's reign of terror. For I am Nuktuk, hero of the South! 
Juji	Nuktuk, you're not just the hero of the South, you're our best friend.
Roh-Tan	Nuktuk-ity!
Nuktuk	 You two are the best snow raccoon and arctic panda a guy could ask for.
Crowd	Aww!
Voice narrator	 Who's gonna fight for friends and freedom? Nuktuk.  He's the biggest, baddest, bendingest man I know.  Who protects the icy tundra? Nuktuk.  Battling Northies out there in the snow.  When Unalaq starts trouble, he'll punch him in the mouth.  He's Nuktuk, the hero of the South. 
Varrick	 Bolin, look up there. What do you see?
Bolin	 I- is this a trick question?
Varrick	I'll tell you what I see: a star being born. You're a star. People love stars. Stars tell them what to think and how to act. Bolin, have you ever tried to force a monkey marmot to ride a bicycle?
Bolin	Uh ... not that I can recall.
Varrick	Of course you haven't. You can't force monkey marmots to do anything. They've got to want to do it themselves!
Bolin	Right ...
Varrick	With these movers, we'll have the support of the people, and before long, they'll persuade the President to lend his troops to the war effort.
Evil Unalaq	 My evil plan is working. I've captured Nuktuk's beautiful girlfriend.
Nuktuk	 Not so fast, Evil Unalaq! Oh, I will save my true love and the South!  And now, your time is up.
Evil Unalaq	It's no use fighting, Nuktuk. My anti-energy net makes bending impossible. 
Nuktuk	 No! Please. Power ... weakening.
Ron-Tah	Nuk-terrible.
Voice narrator	Will this be the end of Nuktuk? Can he escape from Unalaq's trap and save the beautiful Ginger? Find out next week on The Adventures of Nuktuk: Hero of the South.
Bolin	 Wow. We got some major chemistry on-screen. Am I right?
Ginger	Yeah. On-screen. 
