Shiro Shinobi	 Bolin, Opal, and Lin rescued the Beifongs and Zhu Li from Kuvira. Now they are racing to Republic City to alert everyone about the Earth Empire's imminent attack. Meanwhile, Korra and Team Avatar have been preparing for just such an event. Prince Wu is leading an evacuation effort, while Asami and Varrick are creating flying mecha suits. But with Kuvira planning to strike in only two weeks, will they be ready in time?
Kuvira	Today, we stand on the precipice of history. For the past three years,  we've fought side by side to unite the Earth Empire and we've proven that no one can stand in our way,  not even the Avatar. But our mission is not yet complete.
Kuvira	 There is a grave injustice that must be corrected. As you all know, after the Hundred Year War, Avatar Aang,  along with Fire Lord Zuko, stole Earth Empire land and formed the United Republic.  This land belongs to the people of the Earth Empire and it's time to take it back! Republic City will be ours!
Soldiers	All hail the Great Uniter!
Kuvira	Are you ready to show the world what a true superpower looks like?
Baatar Jr.	 Yes. I'm honored to march into the city by your side.  I love you, Kuvira.
Kuvira	I never could have done this without your help. After we claim victory, we can finally get married  and rule our empire together.
Korra	How's the evacuation coming?
Wu	Could be better.  At this point we've evacuated almost ...  eighteen families.
Korra	 Only eighteen? There are millions of people in this city!
Wu	I said it could be better.
Mako	The problem is, it's a voluntary evacuation and there aren't very many volunteers. They just don't feel like they're in any immediate danger.
Bolin	Guys! Good, you're all here!
Raiko	 What's with you interrupting my important meetings all the time?
Korra	 Su ... what are you ... you're okay!  I'm so sorry about Zaofu. How did you escape?
Bolin	Opal, Beifong, and I rescued everyone. But we had a run in with Kuvira. We saw her super spirit weapon up close. Like, really close. Way too close.
Tenzin	Is she going to use it against Republic City?
Zhu Li	Yes. I found out she's going to attack in two weeks.
Bolin	Ooh! And Zhu Li's on our side now. Actually, she never really switched sides and I'm just gonna let her explain the whole thing. Zhu Li?
Zhu Li	 I pretended to be loyal to Kuvira so I could sabotage her weapon. It didn't work, but I did overhear her plans to attack.
Raiko	 I knew she wouldn't stop at Zaofu.
Lin	My guess is, she's coming by rail. It's the only way she can transport that weapon.
Korra	Then we'll cut the rail lines.
Raiko	I agree. But let's get as many citizens evacuated before we do.  Put out the announcement. The evacuation is now mandatory.
Mako	 We're on it.
Korra	Don't worry Mr. President. I won't let Kuvira take our city.
Varrick	Weld hotter! Tighten tighter!  The president said we only have two weeks to get these hummingbirds humming!
Bolin	Varrick! Good, you're here.  Can I talk to you for a minute?
Varrick	 What is it? I'm busy inspiring my workers.
Bolin	Well, I went to Zaofu and saved Su and her family ... and guess who else we found?  Ha!
Varrick	Zhu Li.
Bolin	 Now, isn't there something you wanted to say to her? Hmm?
Zhu Li	 Please, let me go first. I know I said a lot of terrible things about you in front of Kuvira. But I need you to know ...  I didn't mean one word. When you were being taken away, I thought my only chance to save you was to join her.  But every day, I hoped for the chance to see you again and tell you the truth.  Varrick, you mean the world to me and I'm sorry if I hurt you in any way.
Varrick	 Don't be so hard on yourself.  Apology accepted! Now be a good assistant and  man the assembly line!
Zhu Li	 No! I am not your assistant anymore.  If you want me around, you need to start treating me like an equal!
Radio operator	 We're patched into the emergency broadcast line.  You're going out to every radio in the city.
Mako	 Attention citizens of Republic City. This is not a test.  An attack on our city is imminent. President Raiko has ordered a mandatory evacuation for all citizens. Please find  your evacuation handbooks and turn to  subsection one-dash-two-six.  There you will find initial instructions for your area. For example, if you live in northwest vector one, report to your primary meeting location,  which would be at the eastern entrance of the Southern Water Tribe library.  There, you would choose a leader as specified in section one-dash-two-eight. 
Radio operator	 Uh, Chief,  we're getting confused calls from all over the city. I think Mako's starting a panic.
Mako	What's confusing?  I'm giving very specific instructions.
Lin	 Great, this is just what we need.
Wu	I got this.  Hello, everyone, this is Prince Wu. Now, I know you're all a little scared. Believe me, I know what it's like to be afraid. I used to not be able to go to the bathroom by myself. But if we let that fear control us  none of us will ever be able to go to the bathroom and then we all lose.  But the people of Republic City aren't losers, we're winners.  Winners that are going to  get out of this city in a calm and orderly fashion.  So I want you to grab your family, grab your neighbor  grab that guy down the street you don't know very well and head to the nearest bus,  train or ferry station.  We're going to get you out of here, safe and sound.
Lin	 Good job, kid.  You might not make such a bad king after all.
Tenzin	Rohan's with the Acolytes. They have the boat ready to leave.  Why aren't you all packed yet?
Pema	 The kids and I have been talking and we decided we want to stay. This is our city and it's going to need all the help it can get.
Meelo	 Yeah! Only a coward flees his fate.
Tenzin	 Thank you.  I'm sure Prince Wu could use your help with the evacuation.  And you three can help the other airbenders keep an eye on the Earth Empire troops from above.
Meelo	 Kuvira's gonna rue the day she messed with  Meelo.
Raiko	 I still don't like having to abandon my office in the city.
Lin	Air Temple Island is the ideal location for your base of operations and you'll be safe here.
Korra	 There's something we need to discuss with you.
Tenzin	What is it?
Korra	 The four of us have been talking and ... we wanna take out Kuvira's spirit weapon before it gets too close to the city.
Tenzin	 That sounds like a risk we don't need to take. The evacuation is on schedule and General Iroh is getting his army in place.
Korra	 I know Iroh can go toe-to-toe with Kuvira's army, but that weapon ...
Bolin	It's too powerful! It can destroy the city.
