Meelo	 Dad's back.
Pema	 Where's Jinora?  No!
Tenzin	 Her spirit is trapped in the Spirit World, but she's going to be all right.
Pema	 How could this happen?
Tenzin	It was all my fault.  I should have never let Jinora enter the Spirit World without me. I couldn't protect her.
Korra	I'm so sorry, Pema. I tried to save her, but Unalaq tricked me.
Tenzin	 Don't worry, honey,  I'm not going to stop until our little girl is back safe with us.
Song	You've got a visitor.
Bolin	 Hey, Mako.
Mako	 Hey. What's with the fancy duds?
Bolin	"I'm on my way to the big finale for ""Nuktuk: Hero of the South.""  Yeah, everyone's gonna be there except for, you know, you ... because you're in jail and stuff."
Mako	 Thanks for the reminder.
Bolin	 Hey, I brought you something. I thought this would brighten up your new place. Read the inscription.
Mako	" ""Dear Mako, Nuktuk says, 'Keep smiling.'""  Did you come by just to give me a poster?"
Bolin	 No, I came by to give you my sincere, heartfelt words of encouragement. I know our lives have been moving in two different directions, but I want you to know that I will always be there for you.  We are brothers, after all, even if one of us is a member of high society and the other one is a criminal.
Mako	 I am not a criminal!
Bolin	 Of course I know that, but you do kinda look like one, cause you're in a jail and that's where criminals live.
Mako	 I was set up! Varrick knew I had figured out he was hiring gangsters to pose as Northern soldiers to get Republic City to join the war. That's why he had me arrested.
Bolin	 Ah, I see what you're doing. You're going for the insanity defense. Smart.
Mako	 No! I'm trying to tell you that Varrick isn't what he seems. Where's Asami? She'll listen to me.
Bolin	 I asked her to come, but she said it was too hard for her. You being in jail like this reminds her of her dad.  Okay, gotta run,  but I'll be back tomorrow. And I am gonna get you the best attorney fame and fortune can buy.
Mako	 Bolin, wait. If my theory about Varrick is right, something might go down tonight at your premiere. Promise me you'll keep your eyes peeled.
Bolin	 Yeah, okay, big brother. I promise.  Whew! That insanity defense is definitely gonna work.
Tonraq	We can't wait any longer. [To the other rebels.] It's time to take back what is ours! It's time to take back our city!
Rebels	Yeah!
Photographer	" Say ""Nuktuk""!"
Bolin	[Walks inside with Ginger; frontal of both.] Wow, that was fun! And did you hear what Shiro said? We're Republic City's most famous couple.
Ginger	Bolin, you're a doll, but you're as dumb as the rocks you bend. We are not a couple.
Bolin	 That's not what Shiro said!
Gang	[Stands at attention with Lu.] You got it, boss.
Shiro Shinobi	[Raiko and his wife step out of the limo; frontal of both.] This star-studded event just keeps getting star-studdier folks. President Raiko and the First Lady Buttercup Raiko just arrived, [Far shot of both as Varrick approaches them.] and they're being greeted by entrepreneur extraordinaire Varrick.
Varrick	There they are, my two most honored guests.  What do you think?  No expense has been spared, I brought in the finest entertainers from Ba Sing Se, and the best food from around the world. Heck! I even had this red carpet imported from the Fire Nation! They make the best red stuff over there. Fact! All right, picture time. 
Raiko	 Varrick, you didn't have to do all this for us.
Varrick	 I wanted to. Mister President, I took one look at your wife and I knew that you were a man of exquisite taste.  And that's why I know you're gonna love this mover!
Raiko	Varrick, I know what you're doing, and I doubt your propaganda is going to change my mind about going to war with the Northern Water Tribe.
Varrick	Oh, I think you'll be surprised how persuasive I can be.
